endtime,artist,track,msplayed
2022-03-11 15:06,NO SKIPS with Jinx and Shea,Bone Thugs-N-Harmony: ‘E. 1999 Eternal’ | Vol. 3 Ep. 6,1363534
2022-03-11 15:20,NO SKIPS with Jinx and Shea,Bone Thugs-N-Harmony: ‘E. 1999 Eternal’ | Vol. 3 Ep. 6,841296
2022-03-19 17:02,NO SKIPS with Jinx and Shea,Lupe Fiasco: ‘Food & Liquor’ | Vol. 3 Ep. 7,4060519
2022-03-20 00:53,NO SKIPS with Jinx and Shea,Lupe Fiasco: ‘Food & Liquor’ | Vol. 3 Ep. 7,3154389
2022-03-24 13:51,NO SKIPS with Jinx and Shea,Frank Ocean: ‘Blonde’ | Vol. 3 Ep. 8,2120879
2022-03-24 14:03,NO SKIPS with Jinx and Shea,Frank Ocean: ‘Blonde’ | Vol. 3 Ep. 8,693495
2022-07-02 21:32,Chats with Cat,slow is fast and fast is slow,551223
2022-07-02 22:13,LobaLand: Wellness Experience ,Matcha Mornings: Why Energy Werk is Art & you need to put some RESPECT on it! ,341721
2022-07-02 22:20,Chats with Cat,internet avatar vs real life,3510
2022-07-02 22:45,Chats with Cat,honoring our season of 'in between',752863
2022-07-02 23:03,Chats with Cat,badgalcat has entered the chat,778881
2022-07-02 23:04,Chats with Cat,slow is fast and fast is slow,0
2022-07-02 23:33,LOUD,1. The Zone ,183500
2022-07-02 23:51,LOUD,1. The Zone ,1009098
2022-07-03 00:22,Ídolo: The Ballad of Chalino Sánchez,1. La nota de muerte,1663878
2022-07-03 00:22,Ídolo: The Ballad of Chalino Sánchez,1. Death Note,0
2022-07-03 00:28,WILD,Episode 10: How Do I Move on? Starring Erick Galindo,309060
2022-07-03 02:11,Mano a Mano,Mano Brown recebe Luizão Chic Show,731010
2022-07-03 02:28,Dissect,Dissecting INSIDE by Bo Burnham (Part 1),838150
2022-07-04 16:21,The Cipher,"Travis De Vries: “I want to create a system and a groundswell of Mob supporting each other"" in Australia",1353884
2022-07-04 18:54,The Cipher,"Travis De Vries: “I want to create a system and a groundswell of Mob supporting each other"" in Australia",1179507
2022-07-04 19:27,La Cima,Episodio 19: Aleman,1395047
2022-07-04 22:49,La Cima,Episodio 19: Aleman,525001
2022-07-04 23:03,La Cima,Episodio 19: Aleman,598721
2022-07-04 23:17,La Cima,Episodio 19: Aleman,704358
2022-07-04 23:34,La Cima,Episodio 19: Aleman,772818
2022-07-04 23:42,La Cima,Episodio 20: Sech,0
2022-07-04 23:42,La Cima,Episodio 19: Aleman,153961
2022-07-05 00:11,Ídolo: The Ballad of Chalino Sánchez,1. Death Note,1357630
2022-07-06 15:06,Chats with Cat,internet avatar vs real life,739540
2022-07-07 01:16,Chats with Cat,internet avatar vs real life,1257156
2022-07-08 02:47,El Flowcast ,La Banda Bastón | Episodio 36,186570
2022-07-08 14:33,El Flowcast ,La Banda Bastón | Episodio 36,2841120
2022-07-08 14:34,El Flowcast ,Mora | Episodio 37 ,9312
2022-07-09 13:22,How to Save a Planet,Air Conditioned Stadiums. Cruise Ships. New Hotels. Can the World Cup in Qatar Really Be Carbon Neutral?,294670
2022-07-10 18:36,Just Break Up,Episode 198: Multiple Sexual Apartments,4883595
2022-07-10 18:36,Just Break Up,Episode 199: I Love Pizza AND My Wife,0
2022-07-10 21:37,Just Break Up,Episode 193: Butt Stuff Is the Trojan Horse,3348495
2022-07-15 00:40,Lo Que Ando Oyendo,#OffTheDome minisodio 2: sofía shizuko - chichiriviche,192168
2022-07-15 00:47,Lo Que Ando Oyendo,#OffTheDome minisode 2: sofía shizuko - chichiriviche,196487
2022-07-15 00:52,Lo Que Ando Oyendo,#OffTheDome minisodio 2: sofía shizuko - chichiriviche,192168
2022-07-15 03:57,Dissect,"good kid, m.A.A.d. city | LAST SONG STANDING (E1)",3202043
2022-07-15 14:29,Dissect,"good kid, m.A.A.d. city | LAST SONG STANDING (E1)",1637869
2022-07-18 14:47,Draws in Spanish |  Conversations with Latinx Visual Artists and Designers,"04: Venezuelan Illustrator, Natali Koromoto Martinez",230046
2022-07-19 13:52,The Latin Alternative,The Latin Alternative Show 2122,1068374
2022-07-19 16:37,The Latin Alternative,The Latin Alternative Show 2122,495728
2022-07-19 16:42,Draws in Spanish |  Conversations with Latinx Visual Artists and Designers,"05: Mexican & Irish-American Illustrator and Author, Molly Mendoza",191
2022-07-19 16:42,Draws in Spanish |  Conversations with Latinx Visual Artists and Designers,"04: Venezuelan Illustrator, Natali Koromoto Martinez",269141
